simulation_id,position,name,bot_class,payout_pct
1,1,TestBot_16,TestBot16,0.5
1,2,TestBot_37,TestBot37,0.3
1,3,TestBot_48,TestBot48,0.2
1,4,TestBot_15,TestBot15,0.0
1,5,TestBot_3,TestBot3,0.0
1,6,TestBot_33,TestBot33,0.0
1,7,TestBot_20,TestBot20,0.0
1,8,TestBot_35,TestBot35,0.0
1,9,CallBot,CallBot,0.0
1,10,TestBot_34,TestBot34,0.0
1,11,TestBot_10,TestBot10,0.0
1,12,TestBot_22,TestBot22,0.0
1,13,TestBot_47,TestBot47,0.0
1,14,TestBot_50,TestBot50,0.0
1,15,TestBot_31,TestBot31,0.0
1,16,TestBot_12,TestBot12,0.0
1,17,TestBot_43,TestBot43,0.0
1,18,TestBot_28,TestBot28,0.0
1,19,TestBot_5,TestBot5,0.0
1,20,TestBot_29,TestBot29,0.0
1,21,TestBot_24,TestBot24,0.0
1,22,TestBot_21,TestBot21,0.0
1,23,TestBot_26,TestBot26,0.0
1,24,TestBot_6,TestBot6,0.0
1,25,TestBot_25,TestBot25,0.0
1,26,TestBot_9,TestBot9,0.0
1,27,TestBot_23,TestBot23,0.0
1,28,TestBot_17,TestBot17,0.0
1,29,TestBot_44,TestBot44,0.0
1,30,TestBot_40,TestBot40,0.0
1,31,TestBot_4,TestBot4,0.0
1,32,TestBot_18,TestBot18,0.0
1,33,TestBot_27,TestBot27,0.0
1,34,TestBot_13,TestBot13,0.0
1,35,TestBot_19,TestBot19,0.0
1,36,TestBot_46,TestBot46,0.0
1,37,TestBot_8,TestBot8,0.0
1,38,TestBot_38,TestBot38,0.0
1,39,RandomBot,RandomBot,0.0
1,40,TestBot_45,TestBot45,0.0
1,41,TestBot_11,TestBot11,0.0
1,42,TestBot_1,TestBot1,0.0
1,43,TestBot_7,TestBot7,0.0
1,44,TestBot_49,TestBot49,0.0
1,45,TestBot_14,TestBot14,0.0
1,46,TestBot_42,TestBot42,0.0
1,47,TestBot_39,TestBot39,0.0
1,48,TestBot_36,TestBot36,0.0
1,49,TestBot_2,TestBot2,0.0
1,50,TestBot_41,TestBot41,0.0
1,51,TestBot_32,TestBot32,0.0
1,52,TestBot_30,TestBot30,0.0
2,1,CallBot,CallBot,0.5
2,2,TestBot_45,TestBot45,0.3
2,3,TestBot_21,TestBot21,0.2
2,4,TestBot_23,TestBot23,0.0
2,5,TestBot_32,TestBot32,0.0
2,6,TestBot_47,TestBot47,0.0
2,7,TestBot_35,TestBot35,0.0
2,8,TestBot_33,TestBot33,0.0
2,9,RandomBot,RandomBot,0.0
2,10,TestBot_7,TestBot7,0.0
2,11,TestBot_29,TestBot29,0.0
2,12,TestBot_15,TestBot15,0.0
2,13,TestBot_44,TestBot44,0.0
2,14,TestBot_48,TestBot48,0.0
2,15,TestBot_4,TestBot4,0.0
2,16,TestBot_14,TestBot14,0.0
2,17,TestBot_36,TestBot36,0.0
2,18,TestBot_46,TestBot46,0.0
2,19,TestBot_9,TestBot9,0.0
2,20,TestBot_11,TestBot11,0.0
2,21,TestBot_25,TestBot25,0.0
2,22,TestBot_41,TestBot41,0.0
2,23,TestBot_3,TestBot3,0.0
2,24,TestBot_39,TestBot39,0.0
2,25,TestBot_31,TestBot31,0.0
2,26,TestBot_30,TestBot30,0.0
2,27,TestBot_8,TestBot8,0.0
2,28,TestBot_6,TestBot6,0.0
2,29,TestBot_22,TestBot22,0.0
2,30,TestBot_12,TestBot12,0.0
2,31,TestBot_37,TestBot37,0.0
2,32,TestBot_24,TestBot24,0.0
2,33,TestBot_19,TestBot19,0.0
2,34,TestBot_13,TestBot13,0.0
2,35,TestBot_50,TestBot50,0.0
2,36,TestBot_20,TestBot20,0.0
2,37,TestBot_17,TestBot17,0.0
2,38,TestBot_28,TestBot28,0.0
2,39,TestBot_49,TestBot49,0.0
2,40,TestBot_1,TestBot1,0.0
2,41,TestBot_2,TestBot2,0.0
2,42,TestBot_38,TestBot38,0.0
2,43,TestBot_26,TestBot26,0.0
2,44,TestBot_5,TestBot5,0.0
2,45,TestBot_34,TestBot34,0.0
2,46,TestBot_43,TestBot43,0.0
2,47,TestBot_40,TestBot40,0.0
2,48,TestBot_42,TestBot42,0.0
2,49,TestBot_10,TestBot10,0.0
2,50,TestBot_18,TestBot18,0.0
2,51,TestBot_16,TestBot16,0.0
2,52,TestBot_27,TestBot27,0.0
4,1,TestBot_15,TestBot15,0.5
4,2,TestBot_6,TestBot6,0.3
4,3,TestBot_7,TestBot7,0.2
4,4,TestBot_28,TestBot28,0.0
4,5,TestBot_12,TestBot12,0.0
4,6,TestBot_19,TestBot19,0.0
4,7,TestBot_14,TestBot14,0.0
4,8,TestBot_40,TestBot40,0.0
4,9,TestBot_11,TestBot11,0.0
4,10,TestBot_45,TestBot45,0.0
4,11,TestBot_26,TestBot26,0.0
4,12,TestBot_36,TestBot36,0.0
4,13,TestBot_24,TestBot24,0.0
4,14,TestBot_13,TestBot13,0.0
4,15,TestBot_33,TestBot33,0.0
4,16,TestBot_18,TestBot18,0.0
4,17,TestBot_38,TestBot38,0.0
4,18,TestBot_34,TestBot34,0.0
4,19,TestBot_32,TestBot32,0.0
4,20,TestBot_49,TestBot49,0.0
4,21,TestBot_1,TestBot1,0.0
4,22,TestBot_39,TestBot39,0.0
4,23,TestBot_20,TestBot20,0.0
4,24,TestBot_46,TestBot46,0.0
4,25,TestBot_16,TestBot16,0.0
4,26,TestBot_37,TestBot37,0.0
4,27,TestBot_30,TestBot30,0.0
4,28,TestBot_25,TestBot25,0.0
4,29,TestBot_5,TestBot5,0.0
4,30,TestBot_21,TestBot21,0.0
4,31,TestBot_3,TestBot3,0.0
4,32,TestBot_23,TestBot23,0.0
4,33,TestBot_48,TestBot48,0.0
4,34,TestBot_35,TestBot35,0.0
4,35,TestBot_44,TestBot44,0.0
4,36,CallBot,CallBot,0.0
4,37,TestBot_31,TestBot31,0.0
4,38,TestBot_41,TestBot41,0.0
4,39,TestBot_42,TestBot42,0.0
4,40,TestBot_43,TestBot43,0.0
4,41,TestBot_4,TestBot4,0.0
4,42,TestBot_9,TestBot9,0.0
4,43,TestBot_17,TestBot17,0.0
4,44,TestBot_2,TestBot2,0.0
4,45,TestBot_22,TestBot22,0.0
4,46,TestBot_47,TestBot47,0.0
4,47,TestBot_29,TestBot29,0.0
4,48,RandomBot,RandomBot,0.0
4,49,TestBot_27,TestBot27,0.0
4,50,TestBot_50,TestBot50,0.0
4,51,TestBot_10,TestBot10,0.0
4,52,TestBot_8,TestBot8,0.0
10,1,TestBot_1,TestBot1,0.5
10,2,TestBot_43,TestBot43,0.3
10,3,TestBot_46,TestBot46,0.2
10,4,TestBot_28,TestBot28,0.0
10,5,TestBot_5,TestBot5,0.0
10,6,TestBot_49,TestBot49,0.0
10,7,TestBot_27,TestBot27,0.0
10,8,CallBot,CallBot,0.0
10,9,TestBot_37,TestBot37,0.0
10,10,TestBot_47,TestBot47,0.0
10,11,TestBot_24,TestBot24,0.0
10,12,TestBot_6,TestBot6,0.0
10,13,TestBot_14,TestBot14,0.0
10,14,TestBot_25,TestBot25,0.0
10,15,TestBot_32,TestBot32,0.0
10,16,TestBot_42,TestBot42,0.0
10,17,TestBot_15,TestBot15,0.0
10,18,TestBot_26,TestBot26,0.0
10,19,TestBot_10,TestBot10,0.0
10,20,TestBot_34,TestBot34,0.0
10,21,TestBot_48,TestBot48,0.0
10,22,TestBot_21,TestBot21,0.0
10,23,TestBot_50,TestBot50,0.0
10,24,TestBot_35,TestBot35,0.0
10,25,TestBot_38,TestBot38,0.0
10,26,TestBot_8,TestBot8,0.0
10,27,TestBot_3,TestBot3,0.0
10,28,TestBot_7,TestBot7,0.0
10,29,TestBot_13,TestBot13,0.0
10,30,TestBot_29,TestBot29,0.0
10,31,TestBot_45,TestBot45,0.0
10,32,TestBot_23,TestBot23,0.0
10,33,TestBot_4,TestBot4,0.0
10,34,TestBot_39,TestBot39,0.0
10,35,TestBot_36,TestBot36,0.0
10,36,TestBot_11,TestBot11,0.0
10,37,TestBot_18,TestBot18,0.0
10,38,TestBot_44,TestBot44,0.0
10,39,TestBot_12,TestBot12,0.0
10,40,TestBot_22,TestBot22,0.0
10,41,TestBot_17,TestBot17,0.0
10,42,TestBot_30,TestBot30,0.0
10,43,TestBot_33,TestBot33,0.0
10,44,TestBot_19,TestBot19,0.0
10,45,TestBot_40,TestBot40,0.0
10,46,TestBot_41,TestBot41,0.0
10,47,TestBot_2,TestBot2,0.0
10,48,TestBot_20,TestBot20,0.0
10,49,RandomBot,RandomBot,0.0
10,50,TestBot_9,TestBot9,0.0
10,51,TestBot_16,TestBot16,0.0
10,52,TestBot_31,TestBot31,0.0
9,1,CallBot,CallBot,0.5
9,2,TestBot_32,TestBot32,0.3
9,3,TestBot_27,TestBot27,0.2
9,4,TestBot_43,TestBot43,0.0
9,5,TestBot_22,TestBot22,0.0
9,6,TestBot_20,TestBot20,0.0
